,index,Unnamed: 0,Headline,Subheader,Section,Date,URL,Category
1070,683,3,"Ben Barres, Neuroscientist and Equal-Opportunity Advocate, Dies at 63","Dr. Barres, who in 1997 transitioned from female to male, drew on his experiences as a woman to highlight the obstacles women in science face.",Obituaries,2017-12-29,/2017/12/29/obituaries/ben-barres-dead-neuroscientist-and-equal-opportunity-advocate.html?searchResultPosition=4,Life
1071,682,2,Coming Out in Lebanon,"Openly gay, lesbian and transgender people face persecution across the Arab world. The exception may be in Lebanon, which has slowly grown more tolerant thanks to the work of activists.",Middle East,2017-12-30,/2017/12/30/world/middleeast/lebanon-coming-out.html?searchResultPosition=3,World News
1072,890,210,The #MeToo Moment: The Year in Gender,"Will #MeToo be named “Word of the Year”? Plus, some of our favorite gender stories from 2017.",U.S.,2017-12-30,/2017/12/30/us/the-metoo-moment-the-year-in-gender.html?searchResultPosition=492,US New
1073,664,42,P.C. Language Saved My Life,"What I wish kids growing up in West Baltimore like me knew about “zi,” “zer,” and being gender non-binary.",Opinion,2018-01-03,/2018/01/03/opinion/language-pronouns-gender-zer.html?searchResultPosition=76,Life
1074,662,40,"Transgender Student’s Discrimination Suit Is Settled for $800,000",Ashton Whitaker said that he had been forbidden from using boys bathrooms and felt degraded by administrators at his high school in Wisconsin.,U.S.,2018-01-10,/2018/01/10/us/transgender-wisconsin-school-lawsuit.html?searchResultPosition=64,US New
1075,671,49,Billie Jean King Says Margaret Court Arena’s Name Should Change,Court has made derogatory comments about gay and transgender people.,Tennis,2018-01-12,/2018/01/12/sports/tennis/billie-jean-king-margaret-court-arena.html?searchResultPosition=90,Sports
1076,679,57,Is ‘RuPaul’s Drag Race’ the Most Radical Show on TV?,The reality-television competition that began nine years ago has evolved to reflect an era fixated on gender and identity — and the boundary-pushing spirit of its star.,Magazine,2018-01-24,/2018/01/24/magazine/is-rupauls-drag-race-the-most-radical-show-on-tv.html?searchResultPosition=349,Misc
1077,659,37,"Meet Jaimie Wilson, a Transgender Activist With Guitar in Hand",His before-and-after photos racked up 13 million views on Facebook and expanded the platform for his folk-pop music.,Style,2018-01-26,/2018/01/26/style/jaimie-wilson-transgender-activist-musician.html?searchResultPosition=61,Arts
1078,676,54,Full Transcript and Video: Joe Kennedy Delivers Democratic Response to the State of the Union,"Read the prepared remarks of the response that Representative Joseph P. Kennedy III, Democrat of Massachusetts, delivered on behalf of his party.",Politics,2018-01-31,/2018/01/31/us/politics/transcript-joe-kennedy-democratic-response.html?searchResultPosition=220,Politics
1079,670,48,"Review: In ‘Draw the Circle,’ a Girl Becomes a Man","In his solo show at Rattlestick Playwrights Theater, Mashuq Mushtaq Deen traces his journey of gender transition through the eyes of onlookers.",Theater,2018-02-02,/2018/02/02/theater/draw-the-circle-review-mashuq-mushtaq-deen.html?searchResultPosition=85,Arts
